image,pc_latency_ms,luckfox_latency_ms,pc_detections,luckfox_detections,luckfox_status,updated_at,Lane_1_pc,Lane_2_pc,Lane_3_pc,Lane_1_luckfox,Lane_2_luckfox,Lane_3_luckfox
img00127.jpg,34.424,81.942,8,8,OK,2026-04-25T01:56:07,2,1,5,2,1,5
img00128.jpg,48.253,82.435,8,8,OK,2026-04-25T01:56:08,2,1,5,2,1,5
img00129.jpg,38.053,82.456,7,7,OK,2026-04-25T01:56:09,1,1,5,1,1,5
img00130.jpg,34.606,81.933,7,7,OK,2026-04-25T01:56:10,1,1,5,1,1,5
img00131.jpg,37.848,81.956,7,7,OK,2026-04-25T01:56:10,1,1,5,1,1,5
img00132.jpg,37.425,81.934,7,8,OK,2026-04-25T01:56:11,1,1,5,2,1,5
img00133.jpg,31.738,82.044,6,7,OK,2026-04-25T01:56:12,1,1,4,1,1,5
img00134.jpg,35.031,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00135.jpg,33.858,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00136.jpg,35.360,0.000,5,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,3,0,0,0
img00137.jpg,33.606,0.000,5,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,3,0,0,0
img00138.jpg,37.069,0.000,5,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,3,0,0,0
img00139.jpg,33.311,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,2,1,4,0,0,0
img00140.jpg,35.485,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00141.jpg,45.085,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,2,1,3,0,0,0
img00142.jpg,34.506,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00143.jpg,33.438,0.000,5,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,3,0,0,0
img00144.jpg,37.457,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00145.jpg,33.415,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,2,1,4,0,0,0
img00146.jpg,36.546,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00147.jpg,34.757,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00148.jpg,34.252,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00149.jpg,33.845,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:09,1,1,4,0,0,0
img00150.jpg,33.339,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,1,4,0,0,0
img00151.jpg,33.789,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,1,4,0,0,0
img00152.jpg,33.064,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,1,4,0,0,0
img00153.jpg,35.674,0.000,5,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,0,1,4,0,0,0
img00154.jpg,35.494,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00155.jpg,33.518,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00156.jpg,34.992,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00157.jpg,33.374,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00158.jpg,35.063,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00159.jpg,35.149,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
