image,pc_detections,luckfox_detections,diff_luckfox_minus_pc,abs_diff,luckfox_status,Lane_1_pc,Lane_1_luckfox,Lane_2_pc,Lane_2_luckfox,Lane_3_pc,Lane_3_luckfox
img00210.jpg,8,9,1,1,OK,1.0,3.0,3.0,3.0,4.0,3.0
img00211.jpg,9,10,1,1,OK,1.0,2.0,3.0,3.0,5.0,5.0
img00212.jpg,9,10,1,1,OK,1.0,1.0,3.0,3.0,5.0,6.0
img00213.jpg,8,7,-1,1,OK,1.0,1.0,3.0,3.0,4.0,3.0
img00214.jpg,9,8,-1,1,OK,2.0,1.0,3.0,3.0,4.0,4.0
img00215.jpg,8,9,1,1,OK,2.0,2.0,3.0,3.0,3.0,4.0
img00216.jpg,9,8,-1,1,OK,2.0,1.0,3.0,3.0,4.0,4.0
img00217.jpg,8,8,0,0,OK,2.0,1.0,3.0,3.0,3.0,4.0
img00218.jpg,9,10,1,1,OK,2.0,3.0,3.0,3.0,4.0,4.0
img00219.jpg,7,10,3,3,OK,1.0,1.0,3.0,4.0,3.0,5.0
img00220.jpg,7,7,0,0,OK,1.0,1.0,3.0,3.0,3.0,3.0
img00221.jpg,7,7,0,0,OK,1.0,1.0,3.0,3.0,3.0,3.0
img00222.jpg,8,7,-1,1,OK,2.0,1.0,3.0,3.0,3.0,3.0
img00223.jpg,8,8,0,0,OK,2.0,1.0,3.0,3.0,3.0,4.0
img00224.jpg,9,9,0,0,OK,2.0,2.0,3.0,3.0,4.0,4.0
img00225.jpg,8,10,2,2,OK,1.0,1.0,3.0,4.0,4.0,5.0
img00226.jpg,8,8,0,0,OK,1.0,1.0,3.0,3.0,4.0,4.0
img00227.jpg,8,8,0,0,OK,1.0,1.0,3.0,3.0,4.0,4.0
img00228.jpg,8,7,-1,1,OK,2.0,1.0,2.0,2.0,4.0,4.0
img00229.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00230.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00231.jpg,8,7,-1,1,OK,2.0,1.0,2.0,2.0,4.0,4.0
img00232.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00233.jpg,7,8,1,1,OK,1.0,2.0,2.0,2.0,4.0,4.0
img00234.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00235.jpg,7,7,0,0,OK,1.0,1.0,2.0,2.0,4.0,4.0
img00236.jpg,6,7,1,1,OK,1.0,1.0,2.0,2.0,3.0,4.0
img00237.jpg,7,9,2,2,OK,1.0,2.0,2.0,2.0,4.0,5.0
img00238.jpg,8,8,0,0,OK,2.0,1.0,2.0,2.0,4.0,5.0
img00239.jpg,8,7,-1,1,OK,2.0,1.0,2.0,2.0,4.0,4.0
img00240.jpg,9,8,-1,1,OK,2.0,2.0,2.0,2.0,5.0,4.0
img00241.jpg,7,9,2,2,OK,1.0,2.0,3.0,2.0,3.0,5.0
img00242.jpg,9,8,-1,1,OK,2.0,1.0,3.0,2.0,4.0,5.0
img00243.jpg,9,9,0,0,OK,1.0,2.0,3.0,2.0,5.0,5.0
img00244.jpg,8,8,0,0,OK,1.0,1.0,3.0,2.0,4.0,5.0
img00245.jpg,10,9,-1,1,OK,3.0,2.0,3.0,2.0,4.0,5.0
img00246.jpg,9,9,0,0,OK,2.0,1.0,3.0,3.0,4.0,5.0
img00247.jpg,9,9,0,0,OK,1.0,1.0,3.0,3.0,5.0,5.0
img00248.jpg,9,9,0,0,OK,2.0,1.0,3.0,3.0,4.0,5.0
img00249.jpg,9,8,-1,1,OK,2.0,1.0,3.0,3.0,4.0,4.0
img00250.jpg,8,10,2,2,OK,1.0,2.0,3.0,3.0,4.0,5.0
img00251.jpg,7,8,1,1,OK,1.0,1.0,2.0,3.0,4.0,4.0
img00252.jpg,8,11,3,3,OK,1.0,2.0,3.0,4.0,4.0,5.0
img00253.jpg,7,9,2,2,OK,0.0,1.0,3.0,3.0,4.0,5.0
img00254.jpg,7,8,1,1,OK,0.0,0.0,3.0,4.0,4.0,4.0
img00255.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00256.jpg,8,7,-1,1,OK,0.0,0.0,3.0,3.0,5.0,4.0
img00257.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00258.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00259.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00260.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00261.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00262.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00263.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00264.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00265.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00266.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00267.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00268.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00269.jpg,7,10,3,3,OK,0.0,0.0,3.0,3.0,4.0,7.0
img00270.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00271.jpg,8,7,-1,1,OK,0.0,0.0,3.0,3.0,5.0,4.0
img00272.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00273.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00274.jpg,8,9,1,1,OK,0.0,0.0,3.0,4.0,5.0,5.0
img00275.jpg,8,7,-1,1,OK,0.0,0.0,3.0,3.0,5.0,4.0
img00276.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00277.jpg,7,8,1,1,OK,0.0,0.0,3.0,3.0,4.0,5.0
img00278.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00279.jpg,7,9,2,2,OK,0.0,0.0,3.0,4.0,4.0,5.0
img00280.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00281.jpg,7,7,0,0,OK,0.0,0.0,3.0,3.0,4.0,4.0
img00282.jpg,8,7,-1,1,OK,0.0,0.0,4.0,3.0,4.0,4.0
img00283.jpg,8,9,1,1,OK,0.0,0.0,4.0,4.0,4.0,5.0
img00284.jpg,8,9,1,1,OK,0.0,0.0,4.0,4.0,4.0,5.0
img00285.jpg,8,8,0,0,OK,0.0,0.0,4.0,4.0,4.0,4.0
img00286.jpg,9,8,-1,1,OK,0.0,0.0,4.0,4.0,5.0,4.0
img00287.jpg,9,11,2,2,OK,0.0,0.0,4.0,6.0,5.0,5.0
img00288.jpg,8,9,1,1,OK,0.0,0.0,4.0,4.0,4.0,5.0
img00289.jpg,10,9,-1,1,OK,0.0,0.0,4.0,4.0,6.0,5.0
img00290.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00291.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00292.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00293.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00294.jpg,9,8,-1,1,OK,0.0,0.0,3.0,3.0,6.0,5.0
img00295.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00296.jpg,9,8,-1,1,OK,0.0,0.0,3.0,3.0,6.0,5.0
img00297.jpg,9,8,-1,1,OK,0.0,0.0,3.0,3.0,6.0,5.0
img00298.jpg,9,8,-1,1,OK,0.0,0.0,3.0,3.0,6.0,5.0
img00299.jpg,9,8,-1,1,OK,1.0,0.0,3.0,3.0,5.0,5.0
img00300.jpg,9,8,-1,1,OK,1.0,0.0,3.0,3.0,5.0,5.0
img00301.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00302.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00303.jpg,9,9,0,0,OK,0.0,0.0,3.0,3.0,6.0,6.0
img00304.jpg,9,9,0,0,OK,0.0,1.0,3.0,3.0,6.0,5.0
img00305.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00306.jpg,8,8,0,0,OK,1.0,0.0,2.0,3.0,5.0,5.0
img00307.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00308.jpg,8,8,0,0,OK,0.0,0.0,3.0,3.0,5.0,5.0
img00309.jpg,8,8,0,0,OK,1.0,0.0,2.0,3.0,5.0,5.0
img00310.jpg,8,8,0,0,OK,1.0,0.0,2.0,3.0,5.0,5.0
img00311.jpg,8,9,1,1,OK,1.0,1.0,2.0,2.0,5.0,6.0
img00312.jpg,9,8,-1,1,OK,1.0,1.0,2.0,2.0,6.0,5.0
img00313.jpg,9,9,0,0,OK,2.0,1.0,2.0,2.0,5.0,6.0
img00314.jpg,9,9,0,0,OK,2.0,1.0,2.0,3.0,5.0,5.0
